Target,Tweet,Stance
Legalization of Abortion,@HillaryClinton #gop as whole party has backwards ideas on #immigration #votingrights #womensright #civilrights. #healthcare #dapa #SemST,AGAINST
Atheism,#ILoveIslamBecause and v should love Islam because its a Deen instead of just a #SemST,AGAINST
Feminist Movement,@Lauren_Southern @PressForTruth @moen_tim spank them feminist fascists! #SpankAFeminist  #SemST,AGAINST
Legalization of Abortion,@NBCLA #SB128 isn't opposed merely b/c it's against God's will (as if we're neanderthals). It's murder. Like #SemST,AGAINST
Atheism,"The people who walk in darkness Will see a great light; Those who live in a dark land, The light will shine on them. Isaiah 9:2 #SemST",AGAINST
Atheism,Yeah I think maybe words just stopped mattering #SemST,NONE
Feminist Movement,"Dear parents, please don't tell your boys ""not to be a girl"" when they cry. Girls rock. #SemST",FAVOR
Feminist Movement,"@NormaniKordei hi, can u pls rt this people need to know about this!!!!! #feminist #SemST",FAVOR
Legalization of Abortion,I can think of a thousand things more important than Keith Olbermann. #SanctuaryCities #IRSscandal #Benghazi #Bergdahl #USDebt #SemST,NONE
Feminist Movement,@atheena99 @dopee_curlyy i don't even know what to say to that. You're content with being paid less and not treated like an equal? #SemST,AGAINST
Donald Trump,Trump should be held accountable for his actions.,AGAINST
Hillary Clinton,"#IfIhadAdollarFor wondering, was I that stupid when I was a #Democrats? #Obama #2A #NoAmnesty #WakeUpAmerica #SemST",AGAINST
Feminist Movement,"@Afshah_Ronaldo you don't tell me what to do, i'm a strong individual male, I can make my own choices #ABCD #SayNoToOppresion #SemST",AGAINST
Feminist Movement,Many feminist sexualise and objectify men and yet they insult men who does it calling them pervert #SemST,AGAINST
Legalization of Abortion,@notmuchelse Don't get pregnant! Make sure you don't get pregnant if you'd just kill your child if you do! @chooseliferacer #SemST,AGAINST
Legalization of Abortion,Monk's Hobbit is back in Twitter. #Catholics #SemST,NONE
Feminist Movement,"Whine about how things aren't going your way, even though you're an adult. #LikeAFeminist #SemST",AGAINST
Legalization of Abortion,"Why would I want to make choices about my own body, when a congressman could do it for me?  #ConversationsWithAlex #SemST",AGAINST
Hillary Clinton,"I stand with @HillaryClinton I know she is for women, poor,children, middle class and GUN CONTROL. #SemST",FAVOR
Legalization of Abortion,"#antichoice NEVER try to police men over sex, but punishing women puts  them into a frenzy. #SemST",FAVOR
climate change,I just enjoy sunny days.,NONE
Atheism,"RT @GMHumanistChoir: We're currently looking for new members to join our choir, all welcome, no auditions. #87RT #choir #Manchest... #SemST",AGAINST
Legalization of Abortion,"When Declaration of Independence was adopted, abortion was illegal in all 13 colonies. #txlege #SemST",AGAINST
Hillary Clinton,@HillarityPress @Amedicinewoman 1.Food: #Benghazi 4 NeverAteAgain 2.Weather: #Benghazi WasFireHot 3.Pets: #Benghazi 4PetsMissThem #SemST,AGAINST
Legalization of Abortion,@paigeymadisonn: 12. something you hate.  People who don't believe abortion should be kept safe and sterile. #SemST,FAVOR
Feminist Movement,"If u link anti feminism with misogyny or inequality-lover, please dont reproduce! The world have enough imbeciles . #SemST",AGAINST
climate change,We must act immediately to combat climate change.,FAVOR
Atheism,"RT @XO_NayeLashay: In love with Gospel music .. Heals my soul ,lifts my spirits, clears my mind & makes me appreciate what I do have. #SemST",AGAINST
Atheism,#God is utterly powerless without Human intervention... #SemST,AGAINST
Donald Trump,I can't believe the things Trump gets away with.,AGAINST
Donald Trump,Politics are confusing these days.,NONE
Donald Trump,I don’t really care who’s president.,NONE
climate change,Weather has always changed over time.,NONE
Donald Trump,I can't believe the things Trump gets away with.,AGAINST
Atheism,"Lord, bring health and a cure to every area of my life, and give me the abundance of peace -Jer. 33:6 #SemST",AGAINST
Hillary Clinton,"@finneyk Can't stand @msnbc anymore, but hope @HillaryClinton will go on the @maddow Show! This needs to happen!! #SemST",FAVOR
Feminist Movement,"I need feminism because ""what were you wearing"" shouldn't be a question when I tell my stepmom I was cat called. #SemST",FAVOR
Atheism,@BJPScams @ANI_news Elections were nearing in Bihar / UP / TN so he may be so sickularism sorry #SemST,NONE
Feminist Movement,Happy birthday to the queen Frida Kahlo! #oneofmyidols #mindstimulation #latinapower #SemST,NONE
Atheism,"#Religions can't all be right, but they can all be wrong. #SemST",FAVOR
climate change,I just enjoy sunny days.,NONE
Hillary Clinton,I find allowing the deaths of Americans in Benghazi to be more offensive than the name Redskins. #Benghazi #redskins #SemST,AGAINST
Feminist Movement,"if those feminists come to their senses about equality, they will be calling themselves equalist. @MeninistTweet #SemST",AGAINST
Atheism,What other nation is so great as to have their gods near them the way the Lord our God is near us whenever we pray to him? #Eritrea #SemST,AGAINST
climate change,Climate change is a hoax made up to control us.,AGAINST
Feminist Movement,Clothes with size number oppress woman . Remove them. #thisoppresseswomen #SemST,FAVOR
Feminist Movement,@Cernovich lets hang our heads in shame that men have become so feminized #SemST,AGAINST
climate change,Climate change is a hoax made up to control us.,AGAINST
Donald Trump,Politics are confusing these days.,NONE
Donald Trump,I can't believe the things Trump gets away with.,AGAINST
Donald Trump,Trump’s economic policies are working wonders.,FAVOR
Feminist Movement,@ramzaruglia @a_man_in_yellow Just imagine all the semen those women are slurping in the bottom left pic #YesAllWomen #SemST,AGAINST
Legalization of Abortion,@mistyaiya Just saw your review of @chadkultgen's book at Amazon. I have to say I totally agree with you. A sick marketing ploy. #SemST,NONE
Feminist Movement,Why do #women take their husban's name?Why not the other way round?Let's start #Itookhername!!!us #gender #genderequity #SemST,FAVOR
Donald Trump,Trump should be held accountable for his actions.,AGAINST
Legalization of Abortion,@JaxLeSigh @ProWomanChoice  ur not aware that using #NaturalFamilyPlanning will have d same effect as birth spacing? #SemST,AGAINST
climate change,Climate change is the biggest threat to our future.,FAVOR
Atheism,"Mark 6:35-36 My Father, anything that has been scaring and hindering  good from coming my way, Lord let it disappear #RCCGTR #SemST",AGAINST
Donald Trump,I don’t really care who’s president.,NONE
climate change,Climate change is the biggest threat to our future.,FAVOR
Hillary Clinton,"@HillaryClinton is plain amazing, humble, smart and confident! Let's get it Mrs. President! #HillaryClinton #SemST",FAVOR
Donald Trump,Politics are confusing these days.,NONE
Feminist Movement,Ladies is pimps too. Go on brush your shoulders off. #SemST,FAVOR
Feminist Movement,@NARAL Complaining that your boss won't pay for your birth control but insisting that he 'stays out of my bedroom.' #birthcontrol #SemST,AGAINST
Feminist Movement,So if a women earns money then it's HERS to KEEP??  #feminismiscruelty #SemST,AGAINST
Feminist Movement,I still take pride in calling myself Goswami. And I would take strong exception to anyone who told me I wasn't entitled to use it! #SemST,NONE
Atheism,"Jesus is not dead , he wasn't real !notdead #SemST",FAVOR
Donald Trump,Trump should be held accountable for his actions.,AGAINST
Hillary Clinton,@thehill Great now Hillary knows how the american people feel about the majority of politicians including her #SemST,AGAINST
Feminist Movement,How to oppress a strong and independent woman? Sit in a certain way... #manspreading #SemST,AGAINST
climate change,Weather has always changed over time.,NONE
Atheism,"How do they come up with this insanity? Oh wait, they believe in a Sky-God.  #fyilive, #SemST",FAVOR
Feminist Movement,"Should start a ""menism"" movement. The amount of times people say ""you've got tidy handwriting for a guy"" is ridiculous #SemST",AGAINST
Feminist Movement,What's red and something all feminist should bite into? A brick now stfu #SemST,AGAINST
Legalization of Abortion,"The idea that a ""fetus"" isn't human is outrageous, I mean what else would it be? A dog? A dragon? The unborn are HUMAN BEINGS! #SemST",AGAINST
Donald Trump,Trump’s economic policies are working wonders.,FAVOR
Feminist Movement,"Feminists, SJWs and other authoritarian Marxists = slimy f**ks bent on world domination. Just gotta say it. #SemST",AGAINST
Atheism,Why would I listen to someone that is not doing anything to better their life compared to a successful millionaire?#DonaldTrump #ACN #SemST,NONE
Hillary Clinton,"@Conservativeind @cannoneerfour Lets hope!  She's a killer, liar and a coward! #WakeUpAmerica #MakeAmericaGreatAgain #SemST",AGAINST
Legalization of Abortion,I #DenounceHarper for refusing to include family planning in foreign aid even though spending $1 could save $6 #wherestheFP #SemST,FAVOR
climate change,Climate change is the biggest threat to our future.,FAVOR
Legalization of Abortion,So Ariana Grande hates America & Americans? She's not alone #SCOTUS #HILLARY #OBAMA #DEMOCRATS #ACLU #NAACP #HAMAS #ISIS #SemST,NONE
Legalization of Abortion,Generate belief in quality existence for everyone especially children in that community.Kittington2016 #SemST,AGAINST
climate change,Climate change is a hoax made up to control us.,AGAINST
Atheism,@Rowdman53 Atheist are offended with Christian Symbols  + Only when when forced where they don't belong. #SemST,AGAINST
climate change,There is no solid proof that climate change is real.,AGAINST
Legalization of Abortion,@laurawrpie what do u call #teens hu got #pregnant even while ingesting contraceptives? success? Can a chaste girl get pregnant? #SemST,AGAINST
Hillary Clinton,Ok now Latino are deciding who is going to be president of the US #Jeb2016 #DonaldTrump #Sanders2016 # #SemST,AGAINST
Donald Trump,Trump’s economic policies are working wonders.,FAVOR
Feminist Movement,@ChaseStraight Wat is gaems? Like candy crush saga? #girlgamzers #wat #SemST,AGAINST
Atheism,"Be a sinner and sin strongly, but more strongly have faith and rejoice in Christ. ~ Martin Luther #SemST",AGAINST
Legalization of Abortion,Societies that put to death the weak and vulnerable are more violent. #Nazis #streetgangs #Communists #AssistedSuicide #SemST,AGAINST
Hillary Clinton,Wouldn't be surprise that it comes to light that Chelsea's husband cheats on her like her Bill did on Hillary. #HillaryClinton #SemST,AGAINST
Hillary Clinton,"Hillary can't create jobs! Last time she had a job to do, she outsourced it to Monica Lewinsky. #SemST",AGAINST
Legalization of Abortion,It's sad to see so many people getting their values from Hollywood rather than the Holy Scriptures.  #ProLifeYouth #SemST,AGAINST
Hillary Clinton,@sgtis0905 @UnPoliticalPrty Never forget @emaleroland #Benghazi Shackle the criminal element #SemST,AGAINST
Hillary Clinton,"#Clintonemails are just a prelude of what her presidency could be if elected, a myrad of scandals @GOP @FloridaGOP @marcorubio #SemST",AGAINST
Hillary Clinton,@HillaryforNH will u rope off the people too Hillary swine?  #uppers #uniteblue #SemST,AGAINST
Hillary Clinton,@JessicaAndSandr I have 2 words for u  #Benghazi  #whitewater. She's morally questionable. We as women should demand better #SemST,AGAINST
climate change,We must act immediately to combat climate change.,FAVOR
Donald Trump,Politics are confusing these days.,NONE
climate change,Weather has always changed over time.,NONE
Donald Trump,I can't believe the things Trump gets away with.,AGAINST
Atheism,@FoxNews @Patriot_Girl_TX @toddstarnes Shame on @OregonGovBrown for not stepping in to rescind this ruling! #Disgusting #Wrong #SemST,NONE
Legalization of Abortion,Abortion is genocide - I don't think you know what genocide means.  #ygk #SemST,AGAINST
Legalization of Abortion,The government has given no explanation of why the law was changed #macedonia #HRCtte #SemST,AGAINST
Legalization of Abortion,"Before I formed you in the womb I knew you, before you were born I set you apart - Jeremiah 1:5 #Godislove #youareloved #SemST",AGAINST
Feminist Movement,"Tomorrow, we gone see think pieces on @KeyAndPeele 's pirate skit. #wesayyoho #butwedontsayho #cuzhoisdisrespectfulyo #kinda #SemST",NONE
Atheism,"I have my work and my faith... If that's boring to some people, I can't tell you how much I don't care. ~Madonna Ciccone #SemST",AGAINST
Atheism,"America, like all of us, has both beauty and brutality coursing through its blood. #4thofjuly #spirituality #SemST",AGAINST
Feminist Movement,@nytimes @nytopinion this is more of a personal preference than a gender issue. Do nt strip manners away from younger generation! #SemST,AGAINST
Legalization of Abortion,Living in a pub isnt all that good when your friends turn into alcoholics @jbrowne_94  #refresher #smurf #noonewillunderstand #SemST,NONE
Hillary Clinton,This is the 3rd time in U.S. that Republicans has a vacuum of presidential leadership. #SemST,NONE
Atheism,What we are is what we define the world to be. #existentialism #spirituality #SemST,AGAINST
Legalization of Abortion,"@BuhayIpaglaban @_msthirdward @blueskies366 ""Natural"" family planning isn't ""planning"" at all since it just doesn't work. #SemST",AGAINST
Feminist Movement,Man: this is an issue and needs to be addressed Woman: this is an iss... Men: why are you so outraged???? #everydaysexism #SemST,FAVOR
Legalization of Abortion,If u come 2 this country 4 bettwr life fucking adapt 2 USA WAYS #1A #2A #NRA #COS #CCOT #TGDN #PJNET  #WAKEUPAMERICA #SemST,AGAINST
Feminist Movement,Independence Day is a day where men get wasted and dehumanize women by blowing off fireworks! #endJuly4th #SemST,AGAINST
Hillary Clinton,I just don't think we need an old white guy in the #WH - Who would his #VP be? voting for #SemST,NONE
Feminist Movement,@kdeleon how many were young women? Were there any black young women? #SemST,AGAINST
Feminist Movement,You think its hard to give birth? Bitch have u ever tried to shave a pair of balls? #SemST,AGAINST
Legalization of Abortion,This is the same reason it's sexist that we don't cover women's birth control. Any issue that primarily effects women is ignored #SemST,FAVOR
Atheism,"After Hindu girls #Sheila #Munni and Muslim #Razia, it's time for Christian #Mary in the item song world. #Bollywood #SemST",AGAINST
Legalization of Abortion,@Mediaite @CNN where is #SilencedDiscourse for @TheDemocrats questions on #Divisions #SchoolChoice #Taxes #DoubleStandard #Biased #SemST,AGAINST
Hillary Clinton,Trey Gowdy proved their #Benghazi hearings are politically motivated when he leaked documents to the press   #SemST,AGAINST
climate change,There is no solid proof that climate change is real.,AGAINST
Legalization of Abortion,@ShowTruth YOU CAN'T HANDLE THE TRUTH! People will always do it no matter the laws. #letdoctorsdoit #SemST,FAVOR
Donald Trump,Politics are confusing these days.,NONE
Feminist Movement,"Husband: ""They should know that she's always born with it. It's never Maybelline."" #beauty #SemST",AGAINST
Hillary Clinton,'Hilary is not electable' then you stand no chance @realDonaldTrump #carnivalbarker #SemST,AGAINST
Donald Trump,Trump should be held accountable for his actions.,AGAINST
Legalization of Abortion,Women have outgrown the common housewife stigma long ago #SemST,NONE
climate change,Climate change is a hoax made up to control us.,AGAINST
Donald Trump,Politics are confusing these days.,NONE
Donald Trump,Donald Trump is making America great again!,FAVOR
Donald Trump,Politics are confusing these days.,NONE
Legalization of Abortion,"In Turkey at ze momento, just got internet and started reading @BarrettWeed 's tweets, literally just KILLING IT!!  #SemST",NONE
Atheism,In other related news. Boko Haram has killed over 200 people in the last 48hrs. #SemST,NONE
Donald Trump,I can't believe the things Trump gets away with.,AGAINST
Donald Trump,Trump should be held accountable for his actions.,AGAINST
Hillary Clinton,@JDSon78 @AndrewBroering AndrewWhyDoYouCareAboutWhatIThink? I DidNotRealizeThatIWasThisImportant. SirTweet AndrewIsAPaidTroll #SemST,AGAINST
Hillary Clinton,@HillaryClinton Will #BillClinton assault #MonicaLewinsky on her birthday? #liberals #HillaryClinton #SemST,AGAINST
Atheism,I still remember the days when I prayed God for strength.. then suddenly God gave me difficulties to make me strong. Thank you God! #SemST,AGAINST
Feminist Movement,"I'm not a feminist, I believe in equality of the sexes! THATS EXACTLY WHAT FEMINISM IS #SemST",FAVOR
Feminist Movement,Feminists: stop with the rape jokes! How do you think the women feel?!  Me: depends on how big it is  #Meninist #SemST,AGAINST
Legalization of Abortion,Congrats to my friends at @SBAList and @WRTL for their commitment in getting Pain-Capable Act passed. #wiright #theyfeelpain #SemST,AGAINST
climate change,I just enjoy sunny days.,NONE
Atheism,#BIBLE = Big Irrelevant Book of Lies and Exaggerations ~ #Judaism #God #TeamJesus #Islam ~ #Truth & #Freedom = #SemST,AGAINST
Legalization of Abortion,@BaronTrader @DynaMoChen  Margret Sangers Looking a little rough!!!! #SemST,NONE
Feminist Movement,Unlike cancer treatments marriage risks outweigh the benefits. If oncologists married people everybody would be single #SemST,NONE
Feminist Movement,I still can not get over teamwork being considered female thing. It is not consistent with my experiences at all. #SemST,AGAINST
Donald Trump,Donald Trump is making America great again!,FAVOR
climate change,We must act immediately to combat climate change.,FAVOR
climate change,There is no solid proof that climate change is real.,AGAINST
Feminist Movement,"@CaptHaddock83 oh, that's an easy one: RUN! #spankafeminist #SemST",AGAINST
Donald Trump,I don’t really care who’s president.,NONE
Hillary Clinton,"Hillary ""We came, we saw, he [Gaddaffi] died"" psychopath Clinton. #HillaryonCNN #Nothanks #SemST",AGAINST
Feminist Movement,"Anyone got links to anti-feminist/egalitarian chotchkies? Pins, buttons and the like? #antifeminism #egalitarian #SemST",AGAINST
Legalization of Abortion,@bradfischetti just wanted to say that I appreciate the pro life stance. A lot of celebrities are afraid to show a bold stance #LFO #SemST,AGAINST
Legalization of Abortion,"Lord Jesus,Touch my life with your saving power, heal and restore me to      fullnessof life. #SemST",AGAINST
Atheism,Give us the gifts and graces to be your vessels. Amen #SemST,AGAINST
Atheism,"@CrownFmradio899 however impossible it may sound, I really would have loved to be like the lord #HaveYourSay #SemST",AGAINST
Hillary Clinton,@AC360 of course she is disappointed. Hillary only approves of lying to Americans. #WakeUpAmerica #pjnet #SemST,AGAINST
Donald Trump,Trump’s economic policies are working wonders.,FAVOR
Legalization of Abortion,People don't care about things that don't effect men which is the same reason it's sexist we don't cover birth control  #SemST,AGAINST
Donald Trump,I don’t really care who’s president.,NONE
Hillary Clinton,@csham21 @EstadodeSats Thank you so much for supportive #Freedom4Cuba RTs! #WakeUpAmerica #Cuba #TodosMarchamos #SemST,NONE
Feminist Movement,#yesallwomen are #always #unstoppable if they whine whine whine to get their way #likeagirl  #GamerGate  #HoneyBadger #SemST,AGAINST
Donald Trump,Politics are confusing these days.,NONE
Hillary Clinton,Republicans in the White House will make America great again! #Trump #educateyourself #boycottlibralmedia #SemST,AGAINST
Legalization of Abortion,"#DefentThe8th? Why would I defend something that kills people? Remember #Savita, killed by Irish ""#prolife"" laws? #RepealThe8th #SemST",AGAINST
climate change,There is no solid proof that climate change is real.,AGAINST
Legalization of Abortion,The government has not been able to point to any improved health outcomes for women #law #macedonia #HRCtte #SemST,AGAINST
Legalization of Abortion,"Fair IS fair if U believe an unborn child has no right to life, then UR saying I can decide if you do?? #SemST",AGAINST
Legalization of Abortion,@ConnectCatholic The justification of abortion is rooted in selfishness & fear & they come from lack of faith & self centeredness #SemST,AGAINST
climate change,There is no solid proof that climate change is real.,AGAINST
Donald Trump,Trump should be held accountable for his actions.,AGAINST
Atheism,Its really incredible how much this world needs the work of missionaries! #futuremissionary #lds #hope #shallnotfear #SemST,AGAINST
Hillary Clinton,It's interesting how many liberals are so brainwashed and anxious to mindlessly support a woman who isn't even liberal #SemST,AGAINST
Feminist Movement,Expel them_ #male millionaires from society!  All Rights for women and children!  Stop #children #women trafficking! #SemST,FAVOR
Legalization of Abortion,I wonder if #antichoice ever wonder if the pregnant #teen they denied accurate #SexED to could have been the one to cure cancer. #SemST,FAVOR
Feminist Movement,"@moo_mena unlearn that believing in gender equality is life saving, yes it's fab-but why not actively fight for change? #SemST",FAVOR
Feminist Movement,We celebrate the company of 50 great people & organisations. From #fiji-lovers #perfumers #ecowarrior #vegan #humanrights #healers #SemST,NONE
Hillary Clinton,@tracieeeeee @Irishsmiles1966 @Chloecat317 @weknowwhatsbest THINK POSITIVELY! #OiP #Cruz2016 #MakeDCListen #NoRINOs #NoLibProgs #SemST,AGAINST
Legalization of Abortion,Good thing I don't live in Kingston woulda started a riot by now with this 'pro-life' protest #SemST,FAVOR
Donald Trump,Politics are confusing these days.,NONE
climate change,Weather has always changed over time.,NONE
Hillary Clinton,The #HillaryCampaignSong Top 20 will be revealed (and voting will resume) Monday morning at 10am PT! #SemST,AGAINST
Atheism,"I am addicted to your light.  Everywhere I look you are there. I can feel your Halo, I pray you won't fade away.   #SemST",AGAINST
climate change,Climate change is a hoax made up to control us.,AGAINST
climate change,Climate change is a hoax made up to control us.,AGAINST
Donald Trump,Donald Trump is making America great again!,FAVOR
Donald Trump,Trump’s economic policies are working wonders.,FAVOR
Atheism,Just know that you're not an accident and that you're here by HIS divine providence.  #tcot #pjnet #ccot #christian #SemST,AGAINST
Legalization of Abortion,"Basically this documentary is ""You kill babies so we're going to kill you"" Lol the irony of pro-lifers. #aftertiller #SemST",FAVOR
climate change,We must act immediately to combat climate change.,FAVOR
climate change,Weather has always changed over time.,NONE
Hillary Clinton,"If @HillaryClinton becomes president I'm not leaving the country I will just go ""undocumented. #SemST",AGAINST
Donald Trump,Trump should be held accountable for his actions.,AGAINST
Atheism,#KCA #VoteJKT48ID premierdigi: Are Facebook and Twitter good places to defend your faith? How do you communicate?   #christianity #d... #SemST,AGAINST
Donald Trump,I don’t really care who’s president.,NONE
climate change,Climate change is the biggest threat to our future.,FAVOR
climate change,We must act immediately to combat climate change.,FAVOR
Donald Trump,Trump’s economic policies are working wonders.,FAVOR
Donald Trump,Donald Trump is making America great again!,FAVOR
Legalization of Abortion,"Hi @HillaryClinton while you are campaigning, 3000 innocent lives were killed by your pals #rednationrising #uniteblue #SemST",AGAINST
Feminist Movement,"Growing up, getting told ""no let your brother do that it's too heavy"" is why we need feminism #SemST",FAVOR
climate change,I just enjoy sunny days.,NONE
Feminist Movement,"I can get women not being feminists,  sort of. But women being meninists/MRAs? What the actual fuck #MRA #SemST",AGAINST
Legalization of Abortion,@ShowTruth Get out of my city. #ygk #SemST,NONE
Hillary Clinton,"The federal government did not create the states, the states created the federal government. Ronald Reagan #Federalism #SemST",AGAINST
climate change,I just enjoy sunny days.,NONE
Legalization of Abortion,"I was an accidental baby and as far as I know, my parents were happy to have me. #thanksmom #SemST",AGAINST
Donald Trump,Donald Trump is making America great again!,FAVOR
Hillary Clinton,Do you Progressives know how dangerously close you are to suppressing free speech? Stop it.   #inners  #readyforhillary #SemST,FAVOR
Legalization of Abortion,Please vote against the anti-choice amendment to the Scotland Bill on Monday @KevinBrennanMP - Thanks! #abortionrights #SemST,AGAINST
Feminist Movement,Just watched the frickin' awesome interview with @caitlinmoran and @lenadunham ! What a breath of fresh air those two ladies are!! #SemST,NONE
Feminist Movement,"Feminists claim everything is a ""social construct"" because gender studies people usually suck at biology.  #GamerGate #SemST",AGAINST
Hillary Clinton,"Entire campaign platform for @HillaryClinton seems to be... ""I'm Hillary Clinton"".  #norecord #nosubstance #tcot #PJNET #SemST",AGAINST
Atheism,@Brainman365 @heidtjj @BenjaminLives I have sought the truth of my soul and found it strong enough to stand on its own merits. #SemST,AGAINST
Feminist Movement,"@Maisie_Williams is our hero with her #LikeAGirl campaign! What a brilliant leader she is, so badass just like Arya! #GoT #SemST",FAVOR
Hillary Clinton,"@AndreaTantaros Clinton privilege transcends white privilege, rock star privilege, NFL privilege & intergalactic alien privilege. #SemST",AGAINST
Feminist Movement,Women want to be treated as equals until they get hit after hitting a man first. BULL SHIT! MOTHA FUCK #SemST,AGAINST
climate change,Climate change is a hoax made up to control us.,AGAINST
Hillary Clinton,.@jaketapper The way @HillaryClinton keeps lying I swear her father's real last name is Geppetto. #TCOT #WakeUpAmerica #SemST,AGAINST
Hillary Clinton,Does #hillaryclinton lie and engage in cover-ups to do damage to the country or does she do it out of habit?  #tcot #uniteblue #SemST,AGAINST
Atheism,"..    "" ""So decree whatever thou desirest to decree for thou canst only decree the life of this world #SemST",AGAINST
Legalization of Abortion,"Not your uterus, not your choice--from conception on, it really is THAT simple! #fem2gen #YesAllWomen #SemST",FAVOR
Legalization of Abortion,There's no place for selfishness when you talk about a human life. Everyone matters! #quotes #truelovewaits #parenting #humanrights #SemST,AGAINST
Feminist Movement,@datsradd why not the right? Why always the left titty ? #SemST,NONE
Hillary Clinton,Are we so desperate in this country to seriously consider a 60+ woman as president? #SemST,AGAINST
Hillary Clinton,"@TGowdySC Your committee has NOTHING!, 4 other committees found NOTHING! UR wasting our money on a witch hunt. #HillaryClinton #SemST",FAVOR
Hillary Clinton,Hillary gave her first big interview. Did she talk about the issues? Did she rally the left? Nope. Total dud. #Bernie2016 #SemST,AGAINST
Atheism,I think my username would be cool but now it looks stupid. #SemST,NONE
Hillary Clinton,@kwrcrow Probably for the same reason bho has not ...& @SpeakerBoehner is one of them @GOP @HouseGOP @seanhannity  #StopBush #SemST,NONE
Hillary Clinton,@pdg811 Didn't realize I was in a Republican echo chamber of faux scandals! Ask Gowdy to #Releasethetranscript  #ITrustHillary #SemST,FAVOR
climate change,There is no solid proof that climate change is real.,AGAINST
Atheism,Life certainly has a way of humbling you. This last year and a half has been filled with trials and tribulations. But God! #patience #SemST,AGAINST
Feminist Movement,@Paula0422 btw if you like Chris Brown I WILL SET YOU TO FLAMES WITH MY SPARK FARTS! #rhianna #SemST,NONE
Atheism,"Job said ""The thing I greatly feared has come upon me and that which I was afraid of has happened to me"" Job 3:25  fear opens doors  #SemST",AGAINST
climate change,There is no solid proof that climate change is real.,AGAINST
Donald Trump,Trump should be held accountable for his actions.,AGAINST
Donald Trump,Trump should be held accountable for his actions.,AGAINST
climate change,We must act immediately to combat climate change.,FAVOR
climate change,Climate change is the biggest threat to our future.,FAVOR
Legalization of Abortion,Pray for the Navy yard. God please keep the casualties minimal.   #1A #2A #NRA #COS #CCOT #TGDN #PJNET  #WAKEUPAMERICA #SemST,AGAINST
Feminist Movement,"@CollegeFix @WashTimes Please notice that ""Victims Advocates""were filing friend of the court briefs. #repealVAWA N destroy #SemST",AGAINST
Donald Trump,I can't believe the things Trump gets away with.,AGAINST
Donald Trump,I don’t really care who’s president.,NONE
Hillary Clinton,There's a special place in hell for those who complain more about Hillary than the scum we're fighting. #Obama #SemST,FAVOR
Hillary Clinton,My whole day is revolving around @HillaryClinton 's interview with @brikeilarcnn on @CNN and I'm okay with that! #SemST,FAVOR
Atheism,"I hope for a time when schools teach 'ethics' instead of 'religion'. Sure - inc faiths bt in a sociocultl, geopoliticl context #SemST",FAVOR
climate change,Climate change is a hoax made up to control us.,AGAINST
climate change,Climate change is the biggest threat to our future.,FAVOR
Atheism,He who exalts himself shall      be humbled; and he who humbles himself shall be exalted.Matt 23:12.     #SemST,AGAINST
Feminist Movement,"MARRIAGE for a man is MURDERAGE, That's right MURDER'RAGE! Women have ruined the trust of men, and destabilized their own future. #SemST",AGAINST
Donald Trump,I don’t really care who’s president.,NONE
Atheism,"Exo.28.12 - ...So that I, the Lord, will always remember... #SemST",AGAINST
Feminist Movement,RT : bethersfanpg: BethanyMota if i put alot random hashtags maybe you'll notice me?  #MOTAVATORMONDAY #food #confidence #Motafam... #SemST,NONE
Feminist Movement,"Women in the middle east get stoned to death for being raped but hey, check out the new friend icon in facebook! #SemST",FAVOR
climate change,Weather has always changed over time.,NONE
Donald Trump,I don’t really care who’s president.,NONE
Legalization of Abortion,"In so many ways to Christians right here in America we already ARE the ""Great Satan"" #GayMarriage #Drugs #WakeUpAmerica #SemST",AGAINST
Legalization of Abortion,It is not Pro-Life if you ignore life of the pregnant woman; that includes physical/mental health.IsProLife #SemST,FAVOR
Hillary Clinton,"@HillaryClinton lies just for the fun of it, its CRAZY!!!!! #NoHillary #WhyImNotVotingForHillary #SemST",AGAINST
climate change,There is no solid proof that climate change is real.,AGAINST
climate change,Weather has always changed over time.,NONE
Donald Trump,I don’t really care who’s president.,NONE
Legalization of Abortion,@notmuchelse NO new human individual formed at conception! Full complement of human chromosomes unique individual DNA and alive. #SemST,AGAINST
Feminist Movement,"You should start using Google translate @baedontcare, it is sooooo easy even retarded feminists like you can use it.  #SemST",AGAINST
Atheism,"Just a reminder that humans do not need salvation. We need clean water, food, housing, healthcare, and education. #SemST",FAVOR
Atheism,You and I are part and parcel of everything else. Embrace this. #spirituality #SemST,AGAINST
climate change,Climate change is a hoax made up to control us.,AGAINST
Hillary Clinton,"#WhatILearnedToday @HillaryClinton already admitted to having at least 2 devices, more lies, it never stops #SemST",AGAINST
Feminist Movement,"When guys text hella girls it's fine but when girls text guys they get called ""thots #SemST",FAVOR
Legalization of Abortion,"@BuhayIpaglaban @blueskies366 There is no ""#abortion"" involved in taking the pill honey. #womenshealth #abortifacient #fail #SemST",AGAINST
climate change,Weather has always changed over time.,NONE
Legalization of Abortion,"I think a woman should have the choice of what to do with HER BODY.. But, what do I know? Im only a woman sure #SemST",AGAINST
Atheism,Let my house be built by wisdom and become strong through good sense -Prov. 24:3 #SemST,AGAINST
Feminist Movement,"To the young woman I stood next to at KL airport. Sorry I did not step in when your partner grabbed, threatened you #YesAllWomen #SemST",FAVOR
climate change,I just enjoy sunny days.,NONE
